Designator,Mid X,Mid Y,Rotation,Layer
C1,27.5,-43.7125,270.0,top
C2,29.5,-43.7125,270.0,top
C3,45.75,-37.5,270.0,top
C4,31.5,-43.7125,270.0,top
C5,33.5,-40.75,0.0,top
C6,21.25,-35.75,90.0,top
C7,40.9875,-50.5,0.0,top
C8,45.2375,-47.75,180.0,top
D1,30.25,-20.25,270.0,top
D2,31.875,-20.25,270.0,top
FB1,37.4875,-50.5,0.0,top
J3,21.0,-29.25,0.0,top
J4,22.1825,-43.25,90.0,top
L1,23.25,-35.75,270.0,top
R1,28.25,-23.5,0.0,top
R2,38.75,-44.9625,180.0,top
R3,38.75,-42.9625,0.0,top
R4,45.75,-25.0,90.0,top
R5,28.25,-26.0,180.0,top
R6,28.25,-36.75,180.0,top
R7,25.25,-35.75,90.0,top
R8,40.5,-21.5,180.0,top
U1,37.5,-30.75,0.0,top
U2,34.2375,-43.4975,270.0,top
U3,45.2375,-50.5,180.0,top
